,tokens,Sentiment,No Stops,Unicode,Stemmed
84,"[u'I', u'love', u'the', u'Pho', u'and', u'the', u'spring', u'rolls', u'oh', u'so', u'yummy', u'you', u'have', u'to', u'try']",1,"[u'I', u'love', u'Pho', u'spring', u'rolls', u'oh', u'yummy', u'try']","[u'I', u'love', u'Pho', u'spring', u'rolls', u'oh', u'yummy', u'try']","[u'I', u'love', u'pho', u'spring', u'roll', u'oh', u'yummi', u'tri']"
85,"[u'The', u'poor', u'batter', u'to', u'meat', u'ratio', u'made', u'the', u'chicken', u'tenders', u'very', u'unsatisfying']",0,"[u'The', u'poor', u'batter', u'meat', u'ratio', u'made', u'chicken', u'tenders', u'unsatisfying']","[u'The', u'poor', u'batter', u'meat', u'ratio', u'made', u'chicken', u'tenders', u'unsatisfying']","[u'the', u'poor', u'batter', u'meat', u'ratio', u'made', u'chicken', u'tender', u'unsatisfi']"
86,"[u'All', u'I', u'have', u'to', u'say', u'is', u'the', u'food', u'was', u'amazing']",1,"[u'All', u'I', u'say', u'food', u'amazing']","[u'All', u'I', u'say', u'food', u'amazing']","[u'all', u'I', u'say', u'food', u'amaz']"
87,"[u'Omelets', u'are', u'to', u'die', u'for']",1,"[u'Omelets', u'die']","[u'Omelets', u'die']","[u'omelet', u'die']"
88,"[u'Everything', u'was', u'fresh', u'and', u'delicious']",1,"[u'Everything', u'fresh', u'delicious']","[u'Everything', u'fresh', u'delicious']","[u'everyth', u'fresh', u'delici']"
89,"[u'In', u'summary', u'this', u'was', u'a', u'largely', u'disappointing', u'dining', u'experience']",0,"[u'In', u'summary', u'largely', u'disappointing', u'dining', u'experience']","[u'In', u'summary', u'largely', u'disappointing', u'dining', u'experience']","[u'In', u'summari', u'larg', u'disappoint', u'dine', u'experi']"
90,"[u'It', u's', u'like', u'a', u'really', u'sexy', u'party', u'in', u'your', u'mouth', u'where', u'you', u're', u'outrageously', u'flirting', u'with', u'the', u'hottest', u'person', u'at', u'the', u'party']",1,"[u'It', u'like', u'really', u'sexy', u'party', u'mouth', u'outrageously', u'flirting', u'hottest', u'person', u'party']","[u'It', u'like', u'really', u'sexy', u'party', u'mouth', u'outrageously', u'flirting', u'hottest', u'person', u'party']","[u'It', u'like', u'realli', u'sexi', u'parti', u'mouth', u'outrag', u'flirt', u'hottest', u'person', u'parti']"
91,"[u'Never', u'been', u'to', u'Hard', u'Rock', u'Casino', u'before', u'WILL', u'NEVER', u'EVER', u'STEP', u'FORWARD', u'IN', u'IT', u'AGAIN']",0,"[u'Never', u'Hard', u'Rock', u'Casino', u'WILL', u'NEVER', u'EVER', u'STEP', u'FORWARD', u'IN', u'IT', u'AGAIN']","[u'Never', u'Hard', u'Rock', u'Casino', u'WILL', u'NEVER', u'EVER', u'STEP', u'FORWARD', u'IN', u'IT', u'AGAIN']","[u'never', u'hard', u'rock', u'casino', u'will', u'never', u'ever', u'step', u'forward', u'IN', u'IT', u'again']"
92,"[u'Best', u'breakfast', u'buffet']",1,"[u'Best', u'breakfast', u'buffet']","[u'Best', u'breakfast', u'buffet']","[u'best', u'breakfast', u'buffet']"
93,"[u'say', u'bye', u'bye', u'to', u'your', u'tip', u'lady']",0,"[u'say', u'bye', u'bye', u'tip', u'lady']","[u'say', u'bye', u'bye', u'tip', u'lady']","[u'say', u'bye', u'bye', u'tip', u'ladi']"
94,"[u'We', u'll', u'never', u'go', u'again']",0,"[u'We', u'never', u'go']","[u'We', u'never', u'go']","[u'We', u'never', u'go']"
95,"[u'Will', u'be', u'back', u'again']",1,"[u'Will', u'back']","[u'Will', u'back']","[u'will', u'back']"
96,"[u'Food', u'arrived', u'quickly']",1,"[u'Food', u'arrived', u'quickly']","[u'Food', u'arrived', u'quickly']","[u'food', u'arriv', u'quickli']"
97,"[u'It', u'was', u'not', u'good']",0,"[u'It', u'good']","[u'It', u'good']","[u'It', u'good']"
98,"[u'On', u'the', u'up', u'side', u'their', u'cafe', u'serves', u'really', u'good', u'food']",1,"[u'On', u'side', u'cafe', u'serves', u'really', u'good', u'food']","[u'On', u'side', u'cafe', u'serves', u'really', u'good', u'food']","[u'On', u'side', u'cafe', u'serv', u'realli', u'good', u'food']"
99,"[u'Our', u'server', u'was', u'fantastic', u'and', u'when', u'he', u'found', u'out', u'the', u'wife', u'loves', u'roasted', u'garlic', u'and', u'bone', u'marrow', u'he', u'added', u'extra', u'to', u'our', u'meal', u'and', u'another', u'marrow', u'to', u'go']",1,"[u'Our', u'server', u'fantastic', u'found', u'wife', u'loves', u'roasted', u'garlic', u'bone', u'marrow', u'added', u'extra', u'meal', u'another', u'marrow', u'go']","[u'Our', u'server', u'fantastic', u'found', u'wife', u'loves', u'roasted', u'garlic', u'bone', u'marrow', u'added', u'extra', u'meal', u'another', u'marrow', u'go']","[u'our', u'server', u'fantast', u'found', u'wife', u'love', u'roast', u'garlic', u'bone', u'marrow', u'ad', u'extra', u'meal', u'anoth', u'marrow', u'go']"
100,"[u'The', u'only', u'good', u'thing', u'was', u'our', u'waiter', u'he', u'was', u'very', u'helpful', u'and', u'kept', u'the', u'bloddy', u'mary', u's', u'coming']",1,"[u'The', u'good', u'thing', u'waiter', u'helpful', u'kept', u'bloddy', u'mary', u'coming']","[u'The', u'good', u'thing', u'waiter', u'helpful', u'kept', u'bloddy', u'mary', u'coming']","[u'the', u'good', u'thing', u'waiter', u'help', u'kept', u'bloddi', u'mari', u'come']"
101,"[u'Best', u'Buffet', u'in', u'town', u'for', u'the', u'price', u'you', u'cannot', u'beat', u'it']",1,"[u'Best', u'Buffet', u'town', u'price', u'cannot', u'beat']","[u'Best', u'Buffet', u'town', u'price', u'cannot', u'beat']","[u'best', u'buffet', u'town', u'price', u'cannot', u'beat']"
102,"[u'I', u'LOVED', u'their', u'mussels', u'cooked', u'in', u'this', u'wine', u'reduction', u'the', u'duck', u'was', u'tender', u'and', u'their', u'potato', u'dishes', u'were', u'delicious']",1,"[u'I', u'LOVED', u'mussels', u'cooked', u'wine', u'reduction', u'duck', u'tender', u'potato', u'dishes', u'delicious']","[u'I', u'LOVED', u'mussels', u'cooked', u'wine', u'reduction', u'duck', u'tender', u'potato', u'dishes', u'delicious']","[u'I', u'love', u'mussel', u'cook', u'wine', u'reduct', u'duck', u'tender', u'potato', u'dish', u'delici']"
103,"[u'This', u'is', u'one', u'of', u'the', u'better', u'buffets', u'that', u'I', u'have', u'been', u'to']",1,"[u'This', u'one', u'better', u'buffets', u'I']","[u'This', u'one', u'better', u'buffets', u'I']","[u'thi', u'one', u'better', u'buffet', u'I']"
104,"[u'So', u'we', u'went', u'to', u'Tigerlilly', u'and', u'had', u'a', u'fantastic', u'afternoon']",1,"[u'So', u'went', u'Tigerlilly', u'fantastic', u'afternoon']","[u'So', u'went', u'Tigerlilly', u'fantastic', u'afternoon']","[u'So', u'went', u'tigerlilli', u'fantast', u'afternoon']"
105,"[u'The', u'food', u'was', u'delicious', u'our', u'bartender', u'was', u'attentive', u'and', u'personable', u'AND', u'we', u'got', u'a', u'great', u'deal']",1,"[u'The', u'food', u'delicious', u'bartender', u'attentive', u'personable', u'AND', u'got', u'great', u'deal']","[u'The', u'food', u'delicious', u'bartender', u'attentive', u'personable', u'AND', u'got', u'great', u'deal']","[u'the', u'food', u'delici', u'bartend', u'attent', u'person', u'and', u'got', u'great', u'deal']"
106,"[u'The', u'ambience', u'is', u'wonderful', u'and', u'there', u'is', u'music', u'playing']",1,"[u'The', u'ambience', u'wonderful', u'music', u'playing']","[u'The', u'ambience', u'wonderful', u'music', u'playing']","[u'the', u'ambienc', u'wonder', u'music', u'play']"
107,"[u'Will', u'go', u'back', u'next', u'trip', u'out']",1,"[u'Will', u'go', u'back', u'next', u'trip']","[u'Will', u'go', u'back', u'next', u'trip']","[u'will', u'go', u'back', u'next', u'trip']"
108,"[u'Sooooo', u'good']",1,"[u'Sooooo', u'good']","[u'Sooooo', u'good']","[u'sooooo', u'good']"
109,"[u'REAL', u'sushi', u'lovers', u'let', u's', u'be', u'honest', u'Yama', u'is', u'not', u'that', u'good']",0,"[u'REAL', u'sushi', u'lovers', u'let', u'honest', u'Yama', u'good']","[u'REAL', u'sushi', u'lovers', u'let', u'honest', u'Yama', u'good']","[u'real', u'sushi', u'lover', u'let', u'honest', u'yama', u'good']"
110,"[u'At', u'least', u'40min', u'passed', u'in', u'between', u'us', u'ordering', u'and', u'the', u'food', u'arriving', u'and', u'it', u'wasn', u't', u'that', u'busy']",0,"[u'At', u'least', u'40min', u'passed', u'us', u'ordering', u'food', u'arriving', u'busy']","[u'At', u'least', u'40min', u'passed', u'us', u'ordering', u'food', u'arriving', u'busy']","[u'At', u'least', u'40min', u'pass', u'us', u'order', u'food', u'arriv', u'busi']"
111,"[u'This', u'is', u'a', u'really', u'fantastic', u'Thai', u'restaurant', u'which', u'is', u'definitely', u'worth', u'a', u'visit']",1,"[u'This', u'really', u'fantastic', u'Thai', u'restaurant', u'definitely', u'worth', u'visit']","[u'This', u'really', u'fantastic', u'Thai', u'restaurant', u'definitely', u'worth', u'visit']","[u'thi', u'realli', u'fantast', u'thai', u'restaur', u'definit', u'worth', u'visit']"
112,"[u'Nice', u'spicy', u'and', u'tender']",1,"[u'Nice', u'spicy', u'tender']","[u'Nice', u'spicy', u'tender']","[u'nice', u'spici', u'tender']"
113,"[u'Good', u'prices']",1,"[u'Good', u'prices']","[u'Good', u'prices']","[u'good', u'price']"
114,"[u'Check', u'it', u'out']",1,[u'Check'],[u'Check'],[u'check']
115,"[u'It', u'was', u'pretty', u'gross']",0,"[u'It', u'pretty', u'gross']","[u'It', u'pretty', u'gross']","[u'It', u'pretti', u'gross']"
116,"[u'I', u've', u'had', u'better', u'atmosphere']",0,"[u'I', u'better', u'atmosphere']","[u'I', u'better', u'atmosphere']","[u'I', u'better', u'atmospher']"
117,"[u'Kind', u'of', u'hard', u'to', u'mess', u'up', u'a', u'steak', u'but', u'they', u'did']",0,"[u'Kind', u'hard', u'mess', u'steak']","[u'Kind', u'hard', u'mess', u'steak']","[u'kind', u'hard', u'mess', u'steak']"
118,"[u'Although', u'I', u'very', u'much', u'liked', u'the', u'look', u'and', u'sound', u'of', u'this', u'place', u'the', u'actual', u'experience', u'was', u'a', u'bit', u'disappointing']",0,"[u'Although', u'I', u'much', u'liked', u'look', u'sound', u'place', u'actual', u'experience', u'bit', u'disappointing']","[u'Although', u'I', u'much', u'liked', u'look', u'sound', u'place', u'actual', u'experience', u'bit', u'disappointing']","[u'although', u'I', u'much', u'like', u'look', u'sound', u'place', u'actual', u'experi', u'bit', u'disappoint']"
119,"[u'I', u'just', u'don', u't', u'know', u'how', u'this', u'place', u'managed', u'to', u'served', u'the', u'blandest', u'food', u'I', u'have', u'ever', u'eaten', u'when', u'they', u'are', u'preparing', u'Indian', u'cuisine']",0,"[u'I', u'know', u'place', u'managed', u'served', u'blandest', u'food', u'I', u'ever', u'eaten', u'preparing', u'Indian', u'cuisine']","[u'I', u'know', u'place', u'managed', u'served', u'blandest', u'food', u'I', u'ever', u'eaten', u'preparing', u'Indian', u'cuisine']","[u'I', u'know', u'place', u'manag', u'serv', u'blandest', u'food', u'I', u'ever', u'eaten', u'prepar', u'indian', u'cuisin']"
120,"[u'Worst', u'service', u'to', u'boot', u'but', u'that', u'is', u'the', u'least', u'of', u'their', u'worries']",0,"[u'Worst', u'service', u'boot', u'least', u'worries']","[u'Worst', u'service', u'boot', u'least', u'worries']","[u'worst', u'servic', u'boot', u'least', u'worri']"
121,"[u'Service', u'was', u'fine', u'and', u'the', u'waitress', u'was', u'friendly']",1,"[u'Service', u'fine', u'waitress', u'friendly']","[u'Service', u'fine', u'waitress', u'friendly']","[u'servic', u'fine', u'waitress', u'friendli']"
122,"[u'The', u'guys', u'all', u'had', u'steaks', u'and', u'our', u'steak', u'loving', u'son', u'who', u'has', u'had', u'steak', u'at', u'the', u'best', u'and', u'worst', u'places', u'said', u'it', u'was', u'the', u'best', u'steak', u'he', u's', u'ever', u'eaten']",1,"[u'The', u'guys', u'steaks', u'steak', u'loving', u'son', u'steak', u'best', u'worst', u'places', u'said', u'best', u'steak', u'ever', u'eaten']","[u'The', u'guys', u'steaks', u'steak', u'loving', u'son', u'steak', u'best', u'worst', u'places', u'said', u'best', u'steak', u'ever', u'eaten']","[u'the', u'guy', u'steak', u'steak', u'love', u'son', u'steak', u'best', u'worst', u'place', u'said', u'best', u'steak', u'ever', u'eaten']"
123,"[u'We', u'thought', u'you', u'd', u'have', u'to', u'venture', u'further', u'away', u'to', u'get', u'good', u'sushi', u'but', u'this', u'place', u'really', u'hit', u'the', u'spot', u'that', u'night']",1,"[u'We', u'thought', u'venture', u'away', u'get', u'good', u'sushi', u'place', u'really', u'hit', u'spot', u'night']","[u'We', u'thought', u'venture', u'away', u'get', u'good', u'sushi', u'place', u'really', u'hit', u'spot', u'night']","[u'We', u'thought', u'ventur', u'away', u'get', u'good', u'sushi', u'place', u'realli', u'hit', u'spot', u'night']"
124,"[u'Host', u'staff', u'were', u'for', u'lack', u'of', u'a', u'better', u'word', u'BITCHES']",0,"[u'Host', u'staff', u'lack', u'better', u'word', u'BITCHES']","[u'Host', u'staff', u'lack', u'better', u'word', u'BITCHES']","[u'host', u'staff', u'lack', u'better', u'word', u'bitch']"
125,"[u'Bland', u'Not', u'a', u'liking', u'this', u'place', u'for', u'a', u'number', u'of', u'reasons', u'and', u'I', u'don', u't', u'want', u'to', u'waste', u'time', u'on', u'bad', u'reviewing', u'I', u'll', u'leave', u'it', u'at', u'that']",0,"[u'Bland', u'Not', u'liking', u'place', u'number', u'reasons', u'I', u'want', u'waste', u'time', u'bad', u'reviewing', u'I', u'leave']","[u'Bland', u'Not', u'liking', u'place', u'number', u'reasons', u'I', u'want', u'waste', u'time', u'bad', u'reviewing', u'I', u'leave']","[u'bland', u'not', u'like', u'place', u'number', u'reason', u'I', u'want', u'wast', u'time', u'bad', u'review', u'I', u'leav']"
126,"[u'Phenomenal', u'food', u'service', u'and', u'ambiance']",1,"[u'Phenomenal', u'food', u'service', u'ambiance']","[u'Phenomenal', u'food', u'service', u'ambiance']","[u'phenomen', u'food', u'servic', u'ambianc']"
127,"[u'I', u'wouldn', u't', u'return']",0,"[u'I', u'return']","[u'I', u'return']","[u'I', u'return']"
128,"[u'Definitely', u'worth', u'venturing', u'off', u'the', u'strip', u'for', u'the', u'pork', u'belly', u'will', u'return', u'next', u'time', u'I', u'm', u'in', u'Vegas']",1,"[u'Definitely', u'worth', u'venturing', u'strip', u'pork', u'belly', u'return', u'next', u'time', u'I', u'Vegas']","[u'Definitely', u'worth', u'venturing', u'strip', u'pork', u'belly', u'return', u'next', u'time', u'I', u'Vegas']","[u'definit', u'worth', u'ventur', u'strip', u'pork', u'belli', u'return', u'next', u'time', u'I', u'vega']"
129,"[u'This', u'place', u'is', u'way', u'too', u'overpriced', u'for', u'mediocre', u'food']",0,"[u'This', u'place', u'way', u'overpriced', u'mediocre', u'food']","[u'This', u'place', u'way', u'overpriced', u'mediocre', u'food']","[u'thi', u'place', u'way', u'overpr', u'mediocr', u'food']"
130,"[u'Penne', u'vodka', u'excellent']",1,"[u'Penne', u'vodka', u'excellent']","[u'Penne', u'vodka', u'excellent']","[u'penn', u'vodka', u'excel']"
131,"[u'They', u'have', u'a', u'good', u'selection', u'of', u'food', u'including', u'a', u'massive', u'meatloaf', u'sandwich', u'a', u'crispy', u'chicken', u'wrap', u'a', u'delish', u'tuna', u'melt', u'and', u'some', u'tasty', u'burgers']",1,"[u'They', u'good', u'selection', u'food', u'including', u'massive', u'meatloaf', u'sandwich', u'crispy', u'chicken', u'wrap', u'delish', u'tuna', u'melt', u'tasty', u'burgers']","[u'They', u'good', u'selection', u'food', u'including', u'massive', u'meatloaf', u'sandwich', u'crispy', u'chicken', u'wrap', u'delish', u'tuna', u'melt', u'tasty', u'burgers']","[u'they', u'good', u'select', u'food', u'includ', u'massiv', u'meatloaf', u'sandwich', u'crispi', u'chicken', u'wrap', u'delish', u'tuna', u'melt', u'tasti', u'burger']"
132,"[u'The', u'management', u'is', u'rude']",0,"[u'The', u'management', u'rude']","[u'The', u'management', u'rude']","[u'the', u'manag', u'rude']"
133,"[u'Delicious', u'NYC', u'bagels', u'good', u'selections', u'of', u'cream', u'cheese', u'real', u'Lox', u'with', u'capers', u'even']",1,"[u'Delicious', u'NYC', u'bagels', u'good', u'selections', u'cream', u'cheese', u'real', u'Lox', u'capers', u'even']","[u'Delicious', u'NYC', u'bagels', u'good', u'selections', u'cream', u'cheese', u'real', u'Lox', u'capers', u'even']","[u'delici', u'nyc', u'bagel', u'good', u'select', u'cream', u'chees', u'real', u'lox', u'caper', u'even']"
134,"[u'Great', u'Subway', u'in', u'fact', u'it', u's', u'so', u'good', u'when', u'you', u'come', u'here', u'every', u'other', u'Subway', u'will', u'not', u'meet', u'your', u'expectations']",1,"[u'Great', u'Subway', u'fact', u'good', u'come', u'every', u'Subway', u'meet', u'expectations']","[u'Great', u'Subway', u'fact', u'good', u'come', u'every', u'Subway', u'meet', u'expectations']","[u'great', u'subway', u'fact', u'good', u'come', u'everi', u'subway', u'meet', u'expect']"
135,"[u'I', u'had', u'a', u'seriously', u'solid', u'breakfast', u'here']",1,"[u'I', u'seriously', u'solid', u'breakfast']","[u'I', u'seriously', u'solid', u'breakfast']","[u'I', u'serious', u'solid', u'breakfast']"
136,"[u'This', u'is', u'one', u'of', u'the', u'best', u'bars', u'with', u'food', u'in', u'Vegas']",1,"[u'This', u'one', u'best', u'bars', u'food', u'Vegas']","[u'This', u'one', u'best', u'bars', u'food', u'Vegas']","[u'thi', u'one', u'best', u'bar', u'food', u'vega']"
137,"[u'He', u'was', u'extremely', u'rude', u'and', u'really', u'there', u'are', u'so', u'many', u'other', u'restaurants', u'I', u'would', u'love', u'to', u'dine', u'at', u'during', u'a', u'weekend', u'in', u'Vegas']",0,"[u'He', u'extremely', u'rude', u'really', u'many', u'restaurants', u'I', u'would', u'love', u'dine', u'weekend', u'Vegas']","[u'He', u'extremely', u'rude', u'really', u'many', u'restaurants', u'I', u'would', u'love', u'dine', u'weekend', u'Vegas']","[u'He', u'extrem', u'rude', u'realli', u'mani', u'restaur', u'I', u'would', u'love', u'dine', u'weekend', u'vega']"
138,"[u'My', u'drink', u'was', u'never', u'empty', u'and', u'he', u'made', u'some', u'really', u'great', u'menu', u'suggestions']",1,"[u'My', u'drink', u'never', u'empty', u'made', u'really', u'great', u'menu', u'suggestions']","[u'My', u'drink', u'never', u'empty', u'made', u'really', u'great', u'menu', u'suggestions']","[u'My', u'drink', u'never', u'empti', u'made', u'realli', u'great', u'menu', u'suggest']"
139,"[u'Don', u't', u'do', u'it']",0,[u'Don'],[u'Don'],[u'don']
